person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file
25.0,0,2,84973.0,2,2,14000.0,1,5.42,0.16,3.0,634,0
24.0,1,2,87280.0,2,4,16000.0,6,12.42,0.18,2.0,610,0
22.0,0,1,70178.0,0,4,6500.0,1,7.49,0.09,3.0,668,0
27.0,1,2,176144.0,1,2,2500.0,2,8.49,0.01,6.0,591,0
26.0,0,2,181548.0,3,2,10000.0,5,15.99,0.06,3.0,643,0
29.0,1,1,71321.0,6,3,4800.0,5,11.49,0.07,7.0,562,0
22.0,0,3,79142.0,0,2,7200.0,3,8.9,0.09,2.0,671,0
26.0,0,1,55138.0,4,2,5000.0,1,6.99,0.09,2.0,625,0
29.0,1,2,231639.0,5,2,15000.0,1,14.27,0.06,6.0,626,0
26.0,1,3,61716.0,1,3,4050.0,4,7.88,0.07,4.0,586,0
30.0,0,1,58573.0,7,3,4000.0,3,12.1,0.07,6.0,632,0
25.0,1,4,184834.0,5,2,7500.0,6,11.71,0.04,3.0,663,0
35.0,0,2,204859.0,9,2,6500.0,6,7.49,0.03,10.0,643,0
27.0,0,4,52462.0,5,3,10000.0,3,13.98,0.19,9.0,666,0
41.0,1,3,70504.0,22,2,5200.0,5,12.87,0.07,11.0,654,0
28.0,1,1,96756.0,9,3,18000.0,4,10.59,0.19,10.0,567,0
24.0,0,2,79037.0,3,2,9600.0,3,11.98,0.12,3.0,689,0
32.0,1,4,97267.0,9,3,6000.0,1,12.69,0.06,7.0,545,0
31.0,1,3,55412.0,8,3,4000.0,2,11.98,0.07,8.0,661,0
23.0,1,3,32304.0,0,3,7034.0,6,12.43,0.22,4.0,601,0
41.0,0,1,145169.0,20,2,20000.0,2,10.25,0.14,11.0,700,0
28.0,1,1,228914.0,1,2,21999.0,1,6.91,0.1,10.0,659,0
25.0,0,1,37218.0,1,3,7000.0,2,10.62,0.19,3.0,654,0
24.0,0,3,71766.0,1,3,3000.0,2,10.77,0.04,4.0,579,0
21.0,1,3,62428.0,1,3,4000.0,6,6.17,0.06,4.0,496,0
29.0,0,2,111433.0,4,2,10000.0,2,9.63,0.09,9.0,633,0
22.0,1,3,143946.0,0,3,12000.0,5,10.36,0.08,2.0,566,0
25.0,1,1,59777.0,1,3,9600.0,6,7.51,0.16,2.0,584,0
27.0,1,3,41147.0,1,3,6000.0,3,14.91,0.15,5.0,664,0
29.0,0,2,58700.0,5,2,7800.0,4,11.46,0.13,7.0,625,0
30.0,0,2,41601.0,11,3,1500.0,5,14.61,0.04,5.0,603,0
23.0,0,3,33602.0,1,3,10000.0,2,11.01,0.3,2.0,612,0
27.0,1,4,42914.0,2,4,4197.0,2,10.6,0.1,5.0,591,0
27.0,0,2,54246.0,3,3,3398.0,6,11.37,0.06,7.0,655,0
23.0,1,2,91027.0,0,3,7000.0,3,6.0,0.08,3.0,697,0
36.0,1,3,114962.0,12,3,7375.0,1,8.94,0.06,15.0,626,0
25.0,1,1,46447.0,0,2,10000.0,4,8.49,0.22,3.0,514,0
24.0,1,1,101615.0,0,2,10000.0,5,8.57,0.1,4.0,655,0
23.0,0,2,27032.0,4,3,6000.0,1,13.47,0.22,3.0,645,0
23.0,0,3,73044.0,0,3,22000.0,5,10.25,0.3,4.0,640,0
34.0,0,2,61083.0,13,2,7500.0,3,11.43,0.12,9.0,626,0
28.0,1,5,109091.0,6,2,15000.0,2,7.88,0.14,6.0,653,0
22.0,0,2,49222.0,0,3,10000.0,6,11.01,0.2,2.0,680,0
26.0,0,3,51139.0,1,3,11400.0,6,7.66,0.22,3.0,515,0
27.0,0,1,60928.0,3,2,7500.0,3,10.99,0.12,3.0,569,0
31.0,0,2,53998.0,7,3,12000.0,5,17.27,0.22,7.0,607,0
36.0,1,3,74986.0,11,2,20000.0,6,11.8,0.27,11.0,587,0
24.0,0,3,71559.0,0,3,3200.0,2,13.8,0.04,3.0,648,0
28.0,1,4,39761.0,8,3,4900.0,2,14.12,0.12,7.0,684,0
27.0,0,2,43155.0,7,2,9000.0,2,11.4,0.21,5.0,637,0
24.0,1,3,62421.0,2,2,3600.0,4,7.14,0.06,2.0,685,0
23.0,1,3,69181.0,2,3,7500.0,6,11.97,0.11,4.0,684,0
28.0,0,1,91539.0,7,2,3000.0,1,8.31,0.03,7.0,607,0
24.0,1,2,51525.0,3,3,15000.0,1,11.58,0.29,4.0,596,0
30.0,0,3,73229.0,11,2,2500.0,5,12.69,0.03,7.0,582,0
27.0,1,1,74305.0,8,3,5000.0,1,9.54,0.07,6.0,603,0
22.0,1,2,61090.0,0,3,7200.0,5,11.01,0.12,4.0,600,0
25.0,0,1,67298.0,5,2,8000.0,6,9.24,0.12,5.0,624,0
31.0,1,2,94540.0,13,3,10000.0,6,14.27,0.11,10.0,709,0
26.0,0,1,32639.0,6,3,4000.0,6,7.9,0.12,2.0,683,0
24.0,0,2,57171.0,4,3,14000.0,1,7.98,0.24,4.0,601,0
26.0,0,4,55056.0,3,3,11000.0,3,14.61,0.2,2.0,721,0
29.0,0,4,33092.0,7,3,2725.0,6,9.63,0.08,6.0,670,0
30.0,1,1,47755.0,3,3,2400.0,5,10.99,0.05,7.0,663,0
23.0,1,4,81864.0,1,3,20000.0,2,16.94,0.24,3.0,686,0
22.0,1,2,30959.0,2,3,3000.0,6,12.69,0.1,3.0,709,0
33.0,1,3,70425.0,14,3,5000.0,1,7.51,0.07,7.0,607,0
32.0,1,2,143979.0,9,2,9000.0,2,13.47,0.06,7.0,676,0
26.0,1,1,67115.0,0,3,6000.0,5,7.11,0.09,4.0,518,0
26.0,0,1,64542.0,0,2,21000.0,5,10.63,0.33,5.0,563,0
23.0,1,2,90726.0,2,3,10000.0,1,6.54,0.11,4.0,584,0
23.0,1,3,45598.0,0,2,3600.0,2,15.62,0.08,4.0,626,0
